,0
_c39,1000
incident_severity,0
incident_state,0
incident_city,0
incident_location,0
incident_hour_of_the_day,0
number_of_vehicles_involved,0
property_damage,0
bodily_injuries,0
witnesses,0
police_report_available,0
total_claim_amount,0
injury_claim,0
property_claim,0
vehicle_claim,0
auto_make,0
auto_model,0
auto_year,0
fraud_reported,0
authorities_contacted,0
incident_record_id,0
policy_number,0
incident_type,0
policy_bind_date,0
policy_state,0
policy_csl,0
policy_deductable,0
policy_annual_premium,0
umbrella_limit,0
months_as_customer,0
age,0
insured_zip,0
insured_sex,0
insured_education_level,0
insured_occupation,0
insured_hobbies,0
insured_relationship,0
capital-gains,0
capital-loss,0
incident_date,0
collision_type,0
