,policy_bind_date
0,2014-10-17
1,2006-06-27
2,2000-09-06
3,1990-05-25
4,2014-06-06
5,2006-10-12
6,2000-06-04
7,1990-02-03
8,1997-02-05
9,2011-07-25
10,2002-05-26
11,1999-05-29
12,1997-11-20
13,2012-10-26
14,1998-12-28
15,1992-10-19
16,2005-06-08
17,2004-11-15
18,2014-12-28
19,1992-08-02
20,2002-06-25
21,2005-11-27
22,1994-05-27
23,1991-02-08
24,1996-02-02
25,2013-12-05
26,1990-09-20
27,2002-07-18
28,1990-02-08
29,2014-03-04
30,2000-02-18
31,2008-06-19
32,2003-08-01
33,1992-04-04
34,1991-01-13
35,2010-08-08
36,2003-03-09
37,1993-02-03
38,2002-11-25
39,1997-07-27
40,1995-05-08
41,2012-08-30
42,2006-04-30
43,2003-04-13
44,2007-12-05
45,2006-08-21
46,1990-01-08
47,1990-03-18
48,2008-01-07
49,1997-03-10
50,2004-01-10
51,1994-08-20
52,2002-06-02
53,1994-04-28
54,2014-08-17
55,2007-08-11
56,2008-11-20
57,1995-10-18
58,1993-05-19
59,2005-02-26
60,1990-02-14
61,1993-09-30
62,2014-06-10
63,2008-10-28
64,2007-04-24
65,1993-12-13
66,2011-08-17
67,1990-08-20
68,1994-02-11
69,1994-02-22
70,2011-08-15
71,1998-11-11
72,1995-12-04
73,2002-12-28
74,2004-04-15
75,2001-02-02
76,2010-01-12
77,1992-04-14
78,2010-05-21
79,2013-10-27
80,1994-10-12
81,1997-07-04
82,2011-02-15
83,1994-08-21
84,1997-05-15
85,1996-10-26
86,2006-03-04
87,1991-01-02
88,1999-08-15
89,1992-01-15
90,1999-12-07
91,1993-06-06
92,2000-10-03
93,2010-12-29
94,1990-03-17
95,2012-03-01
96,2006-02-05
97,2014-11-01
98,2009-06-17
99,1999-09-20
100,1990-10-19
101,1996-08-05
102,2001-06-06
103,2007-03-25
104,2013-10-31
105,1992-06-13
106,1990-10-07
107,1991-12-28
108,1998-11-11
109,2009-06-26
110,2009-01-11
111,2003-03-18
112,2012-11-02
113,2000-05-04
114,1999-09-29
115,1999-03-09
116,1991-02-13
117,1993-08-05
118,1997-10-31
119,2001-04-21
120,2013-01-08
121,2009-07-23
122,1998-02-20
123,2008-03-13
124,1996-08-20
125,2014-07-27
126,1992-11-09
127,2012-06-04
128,2001-05-13
129,2011-09-17
130,2011-07-15
131,2005-07-27
132,2005-10-18
133,1996-01-19
134,2005-09-29
135,1997-02-18
136,2010-05-11
137,2009-02-06
138,2013-07-09
139,1992-06-06
140,1998-03-08
141,2004-03-29
142,2006-06-01
143,1994-06-08
144,1998-02-12
145,2000-11-16
146,2004-10-24
147,2009-11-08
148,1996-09-21
149,1995-07-16
150,2001-06-09
151,2002-10-06
152,1997-07-14
153,1994-11-11
154,2012-06-23
155,2007-02-18
156,2005-06-27
157,1999-09-29
158,2006-05-14
159,2010-04-29
160,1992-11-10
161,1999-07-24
162,1992-02-22
163,2002-09-13
164,2003-08-09
165,2007-12-04
166,2002-07-22
167,1992-07-03
168,2005-03-29
169,2008-03-16
170,1999-05-23
171,2012-11-22
172,1993-01-29
173,2003-02-11
174,1990-08-15
175,2010-03-06
176,1990-09-27
177,2005-06-17
178,2001-09-14
179,2011-01-07
180,2003-09-13
181,1997-10-24
182,2009-01-04
183,1998-10-12
184,1993-02-23
185,1996-07-07
186,2013-01-23
187,2006-12-06
188,2014-02-23
189,2007-11-16
190,1999-04-17
191,2006-02-06
192,1993-10-20
193,2006-01-01
194,2003-04-04
195,2014-07-05
196,1996-01-16
197,2002-04-19
198,2005-12-10
199,1994-11-07
200,2012-06-02
201,1998-04-07
202,2007-04-25
203,2000-06-30
204,1996-06-04
205,2009-05-09
206,2001-07-08
207,1993-09-20
208,2009-11-03
209,2014-12-10
210,1994-01-08
211,2006-08-05
212,2007-02-07
213,2001-04-09
214,1995-02-17
215,1995-07-25
216,2006-03-24
217,1995-03-28
218,1996-06-19
219,1993-06-16
220,2001-07-11
221,2008-11-22
222,2002-12-28
223,2006-01-01
224,1990-05-19
225,2013-08-26
226,1997-10-12
227,2002-01-21
228,1996-09-02
229,2010-01-28
230,2014-10-03
231,2007-05-02
232,1990-09-22
233,2004-09-19
234,1995-08-28
235,2004-02-04
236,2014-07-23
237,1997-03-21
238,1991-05-06
239,1992-08-07
240,2013-09-03
241,2012-01-05
242,2007-01-27
243,2005-10-14
244,1990-11-03
245,2005-10-15
246,1999-05-22
247,2002-12-21
248,2007-02-10
249,2002-03-01
250,2003-04-21
251,2002-09-22
252,1998-02-10
253,1992-09-01
254,1999-05-01
255,1997-12-19
256,2000-06-18
257,1995-04-24
258,2006-06-16
259,2007-09-28
260,1991-11-21
261,1996-09-21
262,2001-05-16
263,1999-08-11
264,2003-06-16
265,1999-03-30
266,1999-02-03
267,2011-08-25
268,2010-06-28
269,2001-11-06
270,2013-04-15
271,1995-12-07
272,1991-11-01
273,2014-05-19
274,1992-03-15
275,2006-02-03
276,2003-03-16
277,2002-10-16
278,1990-01-27
279,2010-03-11
280,1995-09-19
281,2010-02-27
282,1991-12-28
283,2002-04-30
284,2007-04-28
285,1996-07-08
286,2002-04-01
287,2006-10-29
288,2007-10-25
289,2001-03-28
290,1995-05-04
291,2011-09-28
292,2003-01-28
293,2011-02-01
294,1993-02-09
295,2005-08-05
296,2006-06-17
297,1993-12-07
298,2012-03-14
299,1997-08-05
300,2009-07-05
301,1994-11-25
302,1997-02-03
303,2009-10-09
304,2002-11-20
305,1995-05-29
306,2011-01-22
307,2012-10-18
308,1991-10-13
309,2010-10-01
310,2013-04-10
311,2008-06-11
312,2013-12-04
313,2010-08-21
314,2010-06-18
315,1992-04-10
316,1997-02-03
317,1991-12-06
318,1995-09-19
319,1993-10-29
320,1991-11-03
321,2002-07-09
322,1999-12-07
323,2005-07-01
324,1991-11-04
325,1993-04-14
326,2009-08-23
327,1993-06-18
328,2012-07-17
329,1999-01-25
330,1990-02-23
331,2000-08-30
332,2008-09-03
333,1991-08-02
334,2001-09-25
335,2007-03-11
336,2010-11-20
337,1998-08-28
338,2002-07-16
339,1990-04-29
340,1998-02-01
341,2008-07-20
342,1998-11-13
343,2001-05-24
344,2014-06-03
345,1991-08-22
346,1998-12-12
347,1999-02-18
348,1997-10-30
349,1999-11-29
350,2013-07-07
351,2003-07-05
352,2005-09-21
353,1995-02-18
354,1999-04-07
355,2014-12-13
356,1997-06-01
357,2013-07-13
358,2002-12-30
359,1997-02-28
360,1998-06-18
361,1996-02-08
362,2004-11-17
363,2012-10-25
364,2006-04-13
365,2006-02-21
366,2003-12-17
367,1999-07-31
368,2014-08-05
369,2011-06-05
370,1992-10-11
371,2010-02-17
372,2007-05-06
373,1997-05-01
374,1998-01-28
375,1993-05-05
376,1994-08-06
377,2014-11-14
378,1991-12-14
379,2009-10-21
380,1997-09-29
381,2003-12-31
382,2008-01-01
383,2004-05-31
384,2013-12-18
385,2000-08-24
386,1992-10-14
387,1991-11-16
388,1995-10-08
389,2007-10-28
390,2008-05-16
391,2009-06-22
392,2012-05-10
393,2003-10-02
394,1990-08-02
395,1997-09-16
396,1995-07-29
397,2005-09-06
398,1992-08-05
399,1993-01-22
400,1995-05-20
401,1992-09-24
402,2007-07-20
403,1992-04-28
404,1998-01-19
405,2009-09-08
406,1994-12-18
407,1996-08-23
408,1991-11-20
409,1998-10-28
410,1997-07-14
411,2003-04-09
412,1992-02-04
413,2006-06-29
414,1997-06-21
415,2006-09-07
416,2001-10-01
417,2009-02-20
418,2001-06-26
419,1997-01-18
420,2014-06-24
421,1992-10-02
422,2012-10-09
423,1993-02-10
424,1994-09-28
425,2003-05-24
426,1991-12-25
427,1999-09-18
428,1994-02-03
429,2003-01-18
430,2005-03-07
431,2003-08-23
432,2002-07-11
433,2014-03-19
434,1993-12-06
435,1999-08-29
436,2007-03-09
437,2004-01-03
438,1991-04-25
439,1995-03-14
440,2005-12-09
441,2001-12-25
442,1999-11-14
443,2001-10-27
444,1993-10-31
445,2003-02-13
446,2004-03-06
447,2013-07-12
448,2014-08-27
449,1990-06-22
450,2008-03-07
451,1992-08-05
452,1991-09-03
453,2011-09-02
454,2012-10-06
455,2014-01-18
456,1992-03-22
457,2012-12-03
458,1996-10-18
459,1997-10-02
460,2008-03-18
461,2010-08-29
462,2005-03-31
463,2013-12-25
464,2014-03-11
465,1997-08-04
466,2007-11-14
467,1992-07-30
468,2000-12-01
469,2002-09-10
470,1997-11-07
471,1993-05-18
472,1996-07-11
473,1995-12-17
474,2002-07-16
475,2013-04-12
476,1995-11-13
477,2004-11-04
478,1998-03-21
479,1999-07-22
480,2010-02-28
481,2005-01-30
482,2001-11-29
483,2012-12-24
484,1997-05-11
485,1994-01-26
486,2010-11-04
487,1992-06-19
488,2010-06-02
489,2002-10-12
490,2008-02-25
491,1996-09-05
492,1998-03-16
493,2010-04-22
494,2008-01-25
495,2000-09-10
496,2008-04-23
497,2011-02-18
498,2012-04-24
499,2001-09-25
500,2006-05-24
501,1992-01-30
502,2009-01-24
503,1995-08-29
504,2011-07-31
505,2013-01-05
506,1994-11-18
507,2014-08-30
508,2006-01-01
509,1998-09-10
510,2010-01-28
511,2003-01-04
512,2004-05-24
513,1994-09-12
514,1997-07-07
515,1991-03-01
516,2001-09-29
517,2012-01-10
518,2001-07-05
519,1991-08-07
520,2012-07-24
521,2014-07-27
522,1994-08-08
523,2001-12-09
524,1990-03-14
525,2006-03-28
526,2013-12-23
527,1991-09-30
528,2001-12-27
529,2005-04-07
530,2003-04-08
531,2005-11-14
532,2005-01-07
533,1994-02-14
534,1996-01-23
535,1999-12-12
536,2004-07-15
537,2012-11-07
538,2009-06-29
539,2000-06-26
540,2002-01-09
541,2013-11-11
542,2008-01-14
543,2003-03-04
544,1994-06-07
545,2013-07-04
546,2002-06-30
547,2004-06-30
548,1998-12-19
549,2014-08-31
550,2005-11-10
551,2000-05-04
552,2001-11-26
553,2014-05-06
554,1991-01-27
555,1992-04-28
556,2000-03-04
557,1995-10-12
558,2014-04-25
559,2011-01-26
560,1996-01-26
561,1991-04-08
562,2002-06-29
563,1999-04-09
564,2009-04-19
565,1991-08-22
566,1991-11-28
567,2012-04-27
568,2007-03-04
569,2012-12-31
570,2013-12-21
571,2005-04-28
572,1994-09-17
573,2003-08-16
574,2014-09-02
575,2011-12-12
576,1991-08-17
577,2004-02-29
578,2015-02-22
579,2013-12-25
580,1990-10-13
581,2014-07-05
582,1991-11-25
583,1990-10-02
584,2009-02-17
585,2005-07-17
586,1994-03-12
587,1994-08-03
588,2012-08-25
589,2011-12-02
590,2005-02-25
591,1997-11-07
592,2004-04-20
593,2009-11-17
594,2009-09-19
595,2009-11-08
596,2001-09-12
597,1992-11-27
598,1998-12-07
599,1990-08-25
600,2011-10-22
601,1990-02-01
602,1990-11-27
603,2004-07-16
604,1993-12-10
605,1995-03-08
606,2009-08-03
607,1996-11-03
608,2004-08-09
609,1991-07-20
610,2005-01-14
611,2011-12-16
612,1996-07-07
613,1992-08-05
614,1990-10-09
615,1994-02-27
616,2007-05-06
617,2014-04-21
618,2010-02-11
619,2000-06-04
620,1991-10-05
621,2004-01-03
622,1992-07-23
623,1993-10-10
624,2002-07-09
625,2010-11-14
626,1997-03-03
627,1997-03-01
628,1990-08-18
629,2014-05-28
630,2004-07-22
631,2009-08-02
632,2007-07-05
633,2010-01-24
634,2000-05-15
635,2008-03-21
636,1990-05-07
637,1991-02-05
638,1992-03-19
639,2013-04-24
640,2009-04-10
641,2008-12-01
642,2000-07-05
643,2014-06-11
644,1995-04-23
645,1990-09-16
646,1998-12-11
647,1995-10-09
648,1999-12-21
649,2002-07-28
650,1993-08-03
651,2007-12-16
652,2008-02-10
653,2006-10-01
654,2003-03-09
655,2003-05-29
656,2002-05-06
657,2004-02-28
658,1999-01-14
659,2002-01-23
660,1992-12-09
661,1998-06-24
662,2011-01-06
663,2012-02-24
664,2011-06-25
665,2006-11-21
666,2008-06-27
667,1993-08-30
668,2008-04-21
669,2000-06-23
670,2010-01-11
671,1990-03-28
672,1998-01-29
673,2014-12-05
674,1995-12-07
675,2002-05-27
676,2002-08-09
677,2012-12-02
678,2000-03-22
679,2002-04-13
680,2008-06-17
681,1994-04-07
682,1992-02-29
683,1996-05-11
684,2013-04-03
685,2009-11-12
686,2008-11-05
687,1993-02-15
688,2008-07-21
689,2010-09-11
690,1995-12-22
691,1991-09-26
692,2010-03-11
693,1990-07-15
694,2009-05-10
695,1999-10-28
696,1995-03-30
697,1991-12-14
698,2011-01-31
699,2006-04-21
700,2004-03-10
701,1991-01-05
702,1996-10-15
703,1994-06-21
704,1994-06-13
705,2003-05-27
706,1996-07-06
707,2005-05-08
708,2010-11-02
709,2012-07-29
710,2002-06-06
711,1991-09-19
712,2009-06-24
713,1992-05-29
714,2004-08-12
715,2006-12-24
716,2007-07-24
717,1994-08-17
718,1996-04-10
719,1992-12-11
720,2010-08-01
721,2009-03-23
722,1996-07-29
723,1994-08-23
724,1992-01-05
725,1997-09-11
726,2002-02-10
727,1993-01-28
728,1996-10-23
729,1997-04-21
730,2008-11-09
731,2002-06-20
732,2005-10-21
733,2005-08-28
734,2013-01-16
735,1992-04-28
736,2005-10-10
737,2009-02-08
738,2005-03-06
739,1994-05-17
740,1990-07-20
741,2005-04-17
742,1994-02-10
743,1995-03-29
744,2007-04-30
745,2001-02-15
746,2001-07-09
747,2008-09-06
748,2004-12-19
749,2000-11-15
750,2007-03-14
751,2004-12-28
752,1999-07-05
753,1997-11-15
754,2010-09-27
755,1993-08-30
756,1998-01-29
757,2007-08-18
758,1992-04-14
759,1993-08-09
760,1991-04-02
761,2007-03-15
762,2010-05-01
763,2003-06-24
764,1990-07-08
765,1994-09-24
766,2012-06-20
767,2006-04-19
768,1999-04-07
769,2001-12-07
770,2006-11-25
771,1996-12-06
772,2012-07-10
773,2014-04-07
774,2003-10-11
775,2015-01-17
776,1992-12-07
777,2004-11-29
778,2004-01-02
779,2006-01-25
780,1993-04-18
781,2006-12-09
782,1997-08-30
783,1991-06-03
784,1995-09-06
785,2000-02-09
786,1996-07-23
787,2005-09-21
788,2011-12-30
789,1996-07-21
790,1996-04-08
791,2001-03-04
792,2001-10-19
793,2006-08-18
794,2013-04-28
795,2009-11-29
796,1990-02-15
797,2002-04-12
798,1999-02-21
799,2011-06-18
800,1995-03-26
801,1991-05-03
802,2001-12-19
803,2012-08-05
804,2004-08-09
805,2014-01-20
806,2011-12-19
807,2008-07-28
808,1998-05-05
809,1995-04-16
810,1992-02-14
811,2007-07-11
812,2010-04-07
813,1991-03-10
814,1996-01-20
815,2010-03-01
816,2014-06-15
817,2004-11-25
818,2000-08-26
819,2005-08-23
820,1990-08-09
821,2003-03-28
822,2007-10-23
823,1996-06-27
824,1994-12-11
825,1995-12-05
826,1996-12-15
827,2011-06-06
828,1995-12-13
829,1997-10-28
830,1996-01-04
831,2008-05-09
832,2009-12-05
833,1992-01-05
834,1997-11-15
835,2012-12-22
836,1992-05-19
837,2002-05-25
838,2010-04-21
839,1990-03-26
840,2007-05-12
841,2001-01-02
842,2006-08-10
843,2014-07-28
844,2011-09-27
845,2013-04-20
846,1991-03-20
847,2002-12-21
848,2005-12-03
849,2011-05-25
850,2006-10-18
851,2006-07-19
